watching https://bilulu.de + https://api.bilulu.de for 11min, every 1500ms
2026-08-18T10:41:45.958Z  >>> BUILD CHANGED: null -> "14lw83e03ag1kng"
2026-08-18T10:42:45.717Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:47.689Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:49.739Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:51.787Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:53.746Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:55.870Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:57.778Z  BACKEND FAIL 400  CART ok
2026-08-18T10:42:59.728Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:01.785Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:03.781Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:05.745Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:07.741Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:09.691Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:11.641Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:13.634Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:15.609Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:17.646Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:19.723Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:21.713Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:23.816Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:25.798Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:27.780Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:29.738Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:31.660Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:33.680Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:35.735Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:37.719Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:39.724Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:41.704Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:43.669Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:45.851Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:47.942Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:49.972Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:51.906Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:53.782Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:55.757Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:57.738Z  BACKEND FAIL 400  CART ok
2026-08-18T10:43:59.750Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:01.763Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:03.971Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:05.951Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:07.966Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:09.887Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:11.849Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:13.765Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:15.719Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:17.680Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:19.661Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:21.618Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:23.583Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:25.546Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:27.591Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:29.592Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:31.607Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:33.599Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:35.574Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:37.606Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:39.612Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:41.570Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:43.567Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:45.532Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:47.517Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:49.500Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:51.537Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:53.467Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:55.488Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:57.465Z  BACKEND FAIL 400  CART ok
2026-08-18T10:44:59.478Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:01.411Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:03.444Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:05.540Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:07.692Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:09.673Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:11.871Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:13.886Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:15.906Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:18.017Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:20.170Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:22.269Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:24.552Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:26.759Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:29.133Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:32.614Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:35.164Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:37.780Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:40.061Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:42.777Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:45.261Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:47.891Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:50.432Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:52.963Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:55.822Z  BACKEND FAIL 400  CART ok
2026-08-18T10:45:58.140Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:00.405Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:03.153Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:05.719Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:08.386Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:10.968Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:13.434Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:15.979Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:18.823Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:21.164Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:24.014Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:26.458Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:29.675Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:31.767Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:33.943Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:36.090Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:38.224Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:40.357Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:42.455Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:44.770Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:46.955Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:49.184Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:51.269Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:53.518Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:55.594Z  BACKEND FAIL 400  CART ok
2026-08-18T10:46:58.266Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:00.483Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:02.782Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:05.148Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:07.276Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:09.359Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:11.634Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:13.663Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:15.822Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:18.009Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:20.125Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:22.253Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:24.489Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:26.797Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:29.071Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:31.318Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:33.481Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:35.618Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:37.799Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:39.807Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:41.931Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:43.961Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:46.263Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:48.347Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:50.393Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:52.462Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:54.575Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:56.575Z  BACKEND FAIL 400  CART ok
2026-08-18T10:47:58.654Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:00.655Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:03.072Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:05.234Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:07.185Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:09.300Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:11.319Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:13.439Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:15.469Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:17.552Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:19.827Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:21.856Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:23.815Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:26.100Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:28.182Z  >>> BUILD CHANGED: "14lw83e03ag1kng" -> "173sgbkdhxk1kng"
2026-08-18T10:48:28.182Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:30.140Z  >>> BUILD CHANGED: "173sgbkdhxk1kng" -> "14lw83e03ag1kng"
2026-08-18T10:48:30.140Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:32.145Z  >>> BUILD CHANGED: "14lw83e03ag1kng" -> "173sgbkdhxk1kng"
2026-08-18T10:48:32.145Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:34.199Z  >>> BUILD CHANGED: "173sgbkdhxk1kng" -> "14lw83e03ag1kng"
2026-08-18T10:48:34.199Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:36.328Z  >>> BUILD CHANGED: "14lw83e03ag1kng" -> "173sgbkdhxk1kng"
2026-08-18T10:48:36.328Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:38.326Z  >>> BUILD CHANGED: "173sgbkdhxk1kng" -> "14lw83e03ag1kng"
2026-08-18T10:48:38.326Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:40.806Z  >>> BUILD CHANGED: "14lw83e03ag1kng" -> "173sgbkdhxk1kng"
2026-08-18T10:48:40.806Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:43.225Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:45.574Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:47.767Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:49.923Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:52.211Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:54.404Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:56.786Z  BACKEND FAIL 400  CART ok
2026-08-18T10:48:58.949Z  BACKEND FAIL 400  CART ok
2026-08-18T10:49:01.202Z  BACKEND FAIL 400  CART ok
2026-08-18T10:49:03.367Z  BACKEND FAIL 400  CART ok
2026-08-18T10:49:05.516Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:07.183Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:08.884Z  >>> BUILD CHANGED: "173sgbkdhxk1kng" -> "u5ow6kcqkn1lqq"
2026-08-18T10:49:08.884Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:10.532Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:12.181Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:13.828Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:15.481Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:17.144Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:18.769Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:20.397Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:22.042Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:23.670Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:25.302Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:26.968Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:28.641Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:30.286Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:31.908Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:33.586Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:35.215Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:36.852Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:38.487Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:40.107Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:41.734Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:43.377Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:45.003Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:46.651Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:48.289Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:49.950Z  BACKEND FAIL 502  CART FAIL cart_unavailable
2026-08-18T10:49:51.591Z  BACKEND FAIL 400  CART ok
2026-08-18T10:49:54.032Z  BACKEND FAIL 400  CART ok
2026-08-18T10:49:56.112Z  BACKEND FAIL 400  CART ok
2026-08-18T10:49:58.341Z  BACKEND FAIL 400  CART ok
